ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_276,1,FeL20,Laibungsstein20,FeL20_Fe10_OFas_RhANT,Laibungsstein20_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,45",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_281,1,FeL19,Laibungsstein19,FeL19_Fe10_OFas_RhANT,Laibungsstein19_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,54",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_282,1,FeL18,Laibungsstein18,FeL18_Fe10_OFas_RhANT,Laibungsstein18_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,68",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_288,1,FeL16,Laibungsstein16,FeL16_Fe10_OFas_RhANT,Laibungsstein16_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,25",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_321,1,FeL9,Laibungsstein9,FeL9_Fe12_OFas_RhANT,Laibungsstein9_Fen12_OFas_RhANT,Fe12_OFas_RhANT,"0,21","0,22",2,15,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_161,1,FeL3,Laibungsstein3,FeL3_Fe04_OFas_RhANT,Laibungsstein3_Fen04_OFas_RhANT,Fe04_OFas_RhANT,"0,21","0,26",2,4,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_163,1,FeL1,Laibungsstein1,FeL1_Fe04_OFas_RhANT,Laibungsstein1_Fen04_OFas_RhANT,Fe04_OFas_RhANT,"0,21","0,09",2,4,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_933,1,FeL5,Laibungsstein5,FeL5_Fe5_MRis_OFas_RhANT,Laibungsstein5_Fen05_MRis_OFas_RhANT,Fe5_MRis_OFas_RhANT,"0,22","0,34",3,11,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_90,1,FeL9,Laibungsstein9,FeL9_Fe01_OFas_RhANT,Laibungsstein9_Fen01_OFas_RhANT,Fe01_OFas_RhANT,"0,22","0,10",2,1,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_183,1,KS4,Kreuzstockstein4,KS4_Fe06_OFas_RhANT,Kreuzstockstein4_Fen06_OFas_RhANT,Fe06_OFas_RhANT,"0,22","2,07",2,6,0,0,0,0,0,0,0,1,0
THAnt_ID1608101520_184,1,KS3,Kreuzstockstein3,KS3_Fe06_OFas_RhANT,Kreuzstockstein3_Fen06_OFas_RhANT,Fe06_OFas_RhANT,"0,22","1,41",2,6,0,0,0,0,0,0,1,0,0
THAnt_ID1608101520_525,1,KS3,Kreuzstockstein3,KS3_Fe23_OFas_RhANT,Kreuzstockstein3_Fen23_OFas_RhANT,Fe23_OFas_RhANT,"0,22","1,30",3,5,0,0,1,0,0,0,0,0,0
